,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index,location,direction_et,dispersion_time,model_field_line_length_python,FlLen
204,11.07743367580179,2016-04-12,1.0,4,3.2086701653435425,2.0,559.0915527343751,7.619066614395328,1460444400.0,-6.695768402518579,-3.0577120901702948,-1.9512283729663353,1.641359234410293,8.19064034640137,0.0,-67.78962326049805,7.615639263115728,0.5121927109478017,2016-04-12 06:52:30,2.0,4.31250011920929,-4.25,-4.3635000586509705,-1.157999999821186,PARA,0.20102317427434446,BL,204,south,outward,20.0,,7.701065464851399
205,11.07747530388972,2016-10-25,2.0,4,3.2086714314320766,2.0,559.0914878845216,11.240740952503593,1477435800.0,1.569589565102338,9.508417037556043,-0.6766882563726608,17.45006545962746,9.756951109378404,3.0,-3.9956087172031403,9.661047289022818,0.3328196484780905,2016-10-25 22:42:30,2.0,4.1599998474121085,-75.9000015258789,4.152000427246094,-0.08799991756677628,PARA,0.2010230470178167,BL,205,south,outward,20.0,,11.292380261352685
206,11.077550705970259,2016-04-24,9.0,4,3.208665688064606,2.0,559.0910530090333,6.868987068589963,1461536700.0,-1.7049712669237187,-6.138676684198609,-3.6894578945585854,5.5311907920116745,10.41984334988412,0.0,-23.201706886291504,7.362729245551221,0.10615421095558147,2016-04-24 22:17:30,0.0,1.8009999990463257,-8.099999904632568,0.14399996399879456,6.019500017166138,PARA,0.20102362429326015,BL,206,south,outward,20.0,,6.734374867908463
207,11.07828348344865,2016-09-27,4.0,4,3.2086703480197234,2.0,559.0915527343751,8.602330963013337,1474948200.0,-3.4135269484227124,7.154293406057667,-1.8265085954815,19.823877987126906,8.287036701971864,0.0,-40.44814586639404,8.13498428878612,0.25065186874264445,2016-09-27 03:42:30,2.0,3.5123332142829895,-36.35000038146973,3.689999997615814,3.5494998693466187,PARA,0.20102315591327236,BL,207,south,outward,20.0,,8.710070771658096
208,11.07851264621782,2016-05-27,2.0,4,3.208665985882685,2.0,559.0910530090333,11.377089064289223,1464332400.0,-11.23717847473943,-1.6580479980657743,-1.3445513371291813,0.5909858252632771,12.912765827262803,0.0,-49.02932929992676,11.43830299753834,0.20320221663782229,2016-05-27 06:52:30,1.0,2.459458291530609,-5.000000059604645,-2.918999969959259,1.2040000110864637,PARA,0.2010235943590274,BL,208,south,outward,20.0,,11.428190184512754
209,11.0790130941238,2016-06-06,11.0,4,3.208670943407045,2.0,559.0915489196778,6.4187395390555695,1465257000.0,-5.81283597765564,3.1306420969785136,-0.19534376633672332,21.991597236919326,7.39680983204258,0.0,-80.04914855957031,6.60587033503561,0.15756245449483725,2016-06-06 23:42:30,2.0,2.003000110387802,-18.749999523162842,4.804000020027161,1.1924999952316284,PARA,0.20102309606996205,BL,209,south,outward,20.0,,6.467273431419587
210,11.07919139372972,2016-04-22,4.0,4,3.208666526343913,2.0,559.0910530090333,11.353181655048552,1461322800.0,-8.765582233999751,-6.892398384850858,-2.517983825428556,2.716645186822185,13.38398289696666,0.0,-31.99800157546997,11.431704850216619,0.7827176705723238,2016-04-22 10:52:30,1.0,2.878250002861023,7.449999928474426,3.1794999837875366,2.93900004029274,PARA,0.20102354003630551,BL,210,south,outward,20.0,,11.409688023939253
211,11.079235560666909,2016-08-09,2.0,4,3.2086723122530967,2.0,559.0914878845216,11.76934551573601,1470715200.0,-8.810770587600253,7.345175357650931,-2.262560036203115,21.278385262625033,12.646768790657628,4.0,-46.06832408905029,11.692035592151548,0.0723489863878016,2016-08-09 03:52:30,2.0,2.7376667261123653,-12.29999995231628,3.947250008583069,-4.197375178337097,PARA,0.2010229584851735,BL,211,south,outward,20.0,,11.887706984041518
212,11.08031659367666,2016-08-22,7.0,4,3.2086737540170716,2.0,559.0914878845216,7.7140727271411365,1471854000.0,-6.675184696315409,3.8076402580812005,-1.3360856522817364,21.980021500707373,8.32423099685387,0.0,-59.63503170013428,7.800484102946649,0.19544088290128991,2016-08-22 08:12:30,2.0,1.6812499761581419,-5.25,-5.009750008583069,0.020875003188848495,PARA,0.20102281357139584,BL,212,south,outward,20.0,,7.799019770583685
213,11.08079712767981,2016-04-27,10.0,4,3.208668869623995,2.0,559.0910530090333,8.46282160576382,1461789300.0,-3.714300404457367,-7.075575947194947,-4.125145399776635,4.877448830024138,13.294134172195399,0.0,-38.970266342163086,8.993415284506078,0.0665801470821941,2016-04-27 20:27:30,2.0,,-16.149999856948856,,,PARA,0.2010233045092148,BL,213,south,outward,20.0,,8.496284767933831
214,11.111132198420929,2016-02-27,3.0,4,4.7817195789164595,2.0,1807.1947021484375,11.417542412370816,1456592400.0,-0.3864212222510488,-9.92270224284462,-5.253715185455198,5.895432466708807,14.373856231225918,0.0,-15.057845354080202,11.234595866826393,1.1611250493553975,2016-02-27 16:52:30,0.0,1.8829166591167452,6.900000095367432,4.96450001001358,0.20999999903142452,PARA,0.0915509354996098,PS,214,south,outward,20.0,,11.429099925613098
215,11.174345060668962,2017-07-22,2.0,4,20.28526745256463,2.0,782.0669345855715,6.758543031106976,1500719700.0,-4.63835276044881,5.153988035484682,-2.232804854531773,20.359536691637558,9.65934974652601,0.0,-76.0357780456543,7.284973371521941,0.049755393060058634,2017-07-22 10:27:30,2.0,2.4356666207313538,-23.949999809265137,5.635500192642212,-1.3564998805522919,PARA,3.936498957002321e-05,Lobe,215,south,outward,20.0,,6.781256343920034
216,11.18179838734868,2016-02-28,1.0,5,33.63640432335898,3.0,572.9359748840333,9.625379952108801,1456627650.0,4.339604315117403,-7.273801500382921,-4.694585188349749,7.432980370150591,14.843036139751456,0.0,-3.077795648574829,9.68441646310887,0.49521389900655927,2016-02-28 02:37:30,1.0,2.0956666469573975,7.2399999618530275,2.658799946308136,3.2876000881195067,PARA,2.3641329871537664e-07,BL,216,south,outward,25.0,,9.566733864799074
