,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,Time,GSM_X,GSM_Y,GSM_Z,Storm_phase,DIST,Beta,datetime_str,kp,SW_p,Dst,IMF_By,IMF_Bz,direction,FlLen,goodness_of_fit,region
1028,43.663175,2016-09-28,3.0,4,1.3804884,2.0,2883.555775,1475027100.0,-2.587232825,9.35542,-2.0602124249999996,0.0,9.923008424999999,0.742314395,2016-09-28 01:36:40,2.0,3.83374995,-22.1000005,2.9129999250000003,-2.4125002,para,10.42707247118167,0.5014535991441758,BL
1029,43.664382,2016-05-29,4.0,4,1.3804861,2.0,2883.552725,1464513900.0,-11.581687249999998,-2.9424039,-1.0372303999999999,0.0,11.99467,0.5277897225,2016-05-29 09:16:40,2.0,1.7137499999999999,-14.850000000000001,-4.829000125,0.9080000175,para,16.024358853884486,0.5014541758161465,BL
1030,43.664699,2016-05-10,2.0,4,1.3804861,2.0,2883.552725,1462867200.0,-10.2460735,-3.695390825,-1.8073462,4.0,11.041212999999999,0.15319233499999999,2016-05-10 07:53:20,3.0,1.188250075,-47.449999749999996,-3.5695001000000004,-2.3045,para,14.223184845603031,0.5014541758161465,BL
1031,43.664749,2016-09-04,9.0,4,1.3804885,2.0,2883.555775,1473032400.0,-4.4222232,10.72879425,-2.6760436999999997,3.0,11.909113000000001,0.5428098200000001,2016-09-04 23:33:20,2.0,1.718875,-26.799999999999997,2.3594999000000003,-1.571499975,para,12.975971438660585,0.5014535740714963,BL
1032,43.666977,2016-09-21,1.0,4,1.3804886,2.0,2883.555775,1474419300.0,-3.0045420750000003,10.24764275,-2.379176325,0.0,10.940985,0.9198448049999999,2016-09-21 00:46:40,2.0,2.246625025,-15.25,-4.216500075,-0.8959999725000001,para,11.365419890510138,0.5014535489988183,BL
1033,43.667481,2016-04-17,5.0,4,1.3804886,2.0,2883.555775,1460894700.0,-8.0937917,-7.788900099999999,-2.8765528000000002,3.0,11.59542325,0.57943573,2016-04-17 11:56:40,2.0,5.31550015,-27.5,-3.9595000500000004,-2.805500075,para,13.27295055261862,0.5014535489988183,BL
1034,43.669843,2016-08-15,2.0,4,1.3804888,2.0,2883.555775,1471228800.0,-7.9118812499999995,8.485663725000002,-2.352958775,0.0,11.83823875,0.522917815,2016-08-15 02:33:20,2.0,1.1494999750000001,-10.85,1.8165000249999999,-0.195499999,para,16.652246084434687,0.5014534988534659,BL
1035,43.673679003349314,2017-08-24,2.0,4,0.650545494760895,2.0,9028.527925,1503586800.0,-12.23443675,5.35688845,2.1100360250000003,0.0,13.521626750000001,2.133671475,2017-08-24 14:53:20,2.0,1.6228889000000002,-16.9,-1.9644999,2.321,para,19.893410878956693,0.7223303130714359,PS
1036,43.682293,2016-05-30,9.0,4,0.65053934,2.0,9028.52405,1464626400.0,-7.427860175,-5.2519275,-0.97737248,0.0,9.14963505,0.151498099,2016-05-30 16:33:20,2.0,2.126500025,-3.1999999999999997,3.262499875,-0.8889999974999998,para,10.857618378763428,0.7223325359600383,BL
1037,43.68979,2016-09-14,5.0,4,1.3804929,2.0,2883.555775,1473896400.0,-3.1965406250000004,10.927887250000001,-2.6211728,0.0,11.68374575,0.7583384725,2016-09-14 23:33:20,2.0,2.1458333749999996,-18.55000025,0.8999999799999999,-8.191999675,para,12.06985921307826,0.501452470874847,BL
1038,43.706792,2016-05-13,2.0,4,1.3804976,2.0,2883.552725,1463132100.0,-10.683669000000002,-4.588227625,-1.6234026499999998,4.0,11.74015575,0.486470435,2016-05-13 09:26:40,1.0,1.4664999749999998,-16.5,-3.5115000500000004,-2.816499975,para,14.999906730734793,0.5014512924629251,BL
1039,43.706854,2016-02-29,2.0,4,1.3804993,2.0,2883.55575,1456750200.0,-2.7284474499999996,-7.516936675,-2.7735541999999995,0.0,8.464466925,0.4630418825,2016-02-29 12:43:20,1.0,1.574749975,2.3,0.436125035,-0.983000045,para,9.133638134232081,0.5014508662295075,BL
1040,43.706868,2016-09-03,4.0,4,1.3805,2.0,2883.555775,1472871300.0,-5.812814675,8.957041500000003,-2.6168913999999996,3.0,10.994045750000002,0.13121270999999998,2016-09-03 02:46:40,2.0,2.7200000500000003,-38.19999975,1.06099999,-1.070000015,para,14.147458273015605,0.5014506907217353,BL
1041,43.706885,2016-02-14,3.0,4,1.3804986,2.0,2883.555775,1455465600.0,0.22773218,-8.949341175,-3.7730093250000003,0.0,9.715145450000001,0.7647274225,2016-02-14 15:53:20,3.0,1.34329162,-16.65,5.297000075000001,-2.896499975,para,12.136021838305192,0.5014510417373415,BL
1042,43.706895,2016-03-30,6.0,4,1.3805,2.0,2883.555775,1459367700.0,-2.5563192,-9.124405725,-6.407653600000001,0.0,11.4390265,0.1920179575,2016-03-30 19:46:40,2.0,1.938125,-12.65,-1.365000025,-1.516499975,para,11.12211271510102,0.5014506907217353,BL
1043,43.706905,2016-08-08,6.0,4,1.3805,2.0,2883.555775,1470645600.0,-8.2640506,3.664068325,-1.36166235,4.0,9.142132025,0.3038982725,2016-08-08 08:33:20,2.0,1.505375,-16.3,2.5124999499999996,1.5410000000000001,para,12.483036379737985,0.5014506907217353,BL
1044,43.707034,2016-09-28,4.0,4,1.3804989,2.0,2883.5559,1475031000.0,-3.01629315,8.277606925,-1.9562061,0.0,9.024872850000001,0.13296189975,2016-09-28 02:43:20,2.0,3.1664583749999995,-40.5,0.400000035,-2.0754999425,para,9.53790062040754,0.5014509665196907,BL
1045,43.707937,2016-08-06,5.0,4,1.3805005,2.0,2883.555775,1470517800.0,-5.537644974999999,8.81671515,-2.2563128,4.0,10.653404,0.3798843875,2016-08-06 21:03:20,2.0,2.1955555666666666,-11.500000049999999,3.1429998525,0.19749995499999995,para,12.874945550963442,0.5014505653590782,BL
1046,43.708175,2017-08-23,1.0,4,1.3805007,2.0,2883.555775,1503447900.0,-14.69785725,17.456093,0.9074564574999999,0.0,22.837832249999998,11.702896125,2017-08-23 00:16:40,2.0,2.2659999,-17.9999995,-1.00250003,0.14112497749999994,para,194.14110283175012,0.5014505152140241,PS
