,energy,pitch angle,flag,flux,eflux,bx,xgsm,ygsm,zgsm,beta,imfBy,imfBz,storm_phase,velocity_o_all,v_par_all,v_perp_all,density_o_all,pressure_o_all,density_h_all,swp,swv,kp,dst,datetime_str,year,kp_gt_2,storm,region,energy_int
632294,1.8421173095703118,174.375,-1.0,738.2611484070067,45581.671875,36.2703857421875,-4.545905875638741,-5.351775611897198,2.5131342323488597,0.9501273684022934,-3.147925138473511,4.1196861267089835,nonstorm,9.60000089136191,5.1102822759223185,7.69658405564526,0.09608602479377353,0.04745374870578073,1.674171566849976,4.195547580718993,342.8175048828125,1.7,19.0,2018-07-11 16:13:00,2018,False,False,2.0,2.0
632295,1.8421173095703118,151.875,-1.0,837.0916856280924,35294.21420288087,37.19404602050781,-4.488919310982381,-5.333650359208041,2.4810345298294627,0.8980407300330808,-3.0542044639587402,4.159172534942627,nonstorm,11.3171544192313,4.79164644428137,9.744614541390447,0.09325563063131843,0.04646654431758975,1.7030648422771981,4.195555686950684,342.3992004394531,1.7,19.0,2018-07-11 16:15:00,2018,False,False,2.0,2.0
632296,1.8421173095703118,174.375,-1.0,1252.24039042321,51112.79052734375,37.88295364379883,-4.43168546562688,-5.3151529234811745,2.448847488203587,0.8631908383266945,-3.051795482635498,4.16429615020752,nonstorm,8.92908606075374,4.328777560969518,7.398703737170006,0.09701488933975094,0.04704932885819352,1.5402962374392968,4.161866188049316,341.964111328125,1.7,18.5,2018-07-11 16:17:00,2018,False,False,2.0,2.0
632297,1.8421173095703118,163.125,-1.0,749.8959885639416,29754.53448486328,38.78389358520508,-4.374201865482385,-5.296276478844202,2.416573935412604,0.8228635725627332,-3.0218715667724614,4.185420513153076,nonstorm,8.887587990578261,4.124386365357896,7.128963116191199,0.1006575585954119,0.05015953187614065,1.531991100368796,4.139699459075929,341.5390319824219,1.7,19.0,2018-07-11 16:19:00,2018,False,False,2.0,2.0
632298,1.8421173095703118,163.125,-1.0,695.2119145188382,27077.9416809082,40.0688362121582,-4.316465419613026,-5.277013627771665,2.3842144702080352,0.7768701141016784,-2.8933990001678467,4.242942333221436,nonstorm,8.59961706008819,3.7460796481420777,7.377182993763415,0.1119301851790033,0.04905889671053958,1.601346051996799,4.160076141357422,341.1480407714844,1.7,19.0,2018-07-11 16:21:00,2018,False,False,2.0,2.0
240464,1.8421173095703118,5.625,1.0,1026.2935474461528,62245.444519042976,46.81365585327148,-3.845121254784848,-5.108074304931523,2.1223288398538567,0.477308646036656,-1.6865733861923218,4.659230709075928,nonstorm,9.023271357001935,2.882521540921859,8.14266038596096,0.1004555854722294,0.05644019750505935,1.208841031312635,4.5472731590271,338.3825988769531,1.7,13.0,2018-07-11 16:37:00,2018,False,False,1.0,2.0
240468,1.8421173095703118,5.625,1.0,2063.629102041534,92366.86895751953,56.45548629760742,-3.602818289150766,-5.012824104150338,1.9894435999881541,0.328537909602689,-1.4034305810928338,4.9191246032714835,nonstorm,9.09163776456982,5.900430648449477,5.832625501222163,0.1290535935440081,0.06278281918256894,1.396650788895176,4.518035411834717,337.0143127441406,1.7,14.0,2018-07-11 16:45:00,2018,False,False,1.0,2.0
240469,1.8421173095703118,5.625,1.0,833.2126548499882,92513.11885375976,58.56209182739258,-3.5415150039412273,-4.987785625109717,1.9560258315992167,0.3079800936525728,-1.410220384597778,4.947279930114746,nonstorm,9.201369464939965,4.212688008466811,7.727632880507188,0.1199619068742285,0.06120845496191079,1.467046791350481,4.4707207679748535,336.6351623535156,1.7,14.0,2018-07-11 16:47:00,2018,False,False,1.0,2.0
240470,1.8421173095703118,5.625,1.0,1076.646231496959,49531.82360839844,60.36951065063477,-3.4799135052615044,-4.962235613037731,1.92253043945698,0.2937523977552708,-1.445895552635193,4.967761039733887,nonstorm,9.708022821438227,5.509741104998215,7.405661958666128,0.1193663514010472,0.06388954108751681,1.4647776984243368,4.4085044860839835,336.1962890625,1.7,14.0,2018-07-11 16:49:00,2018,False,False,1.0,2.0
632313,1.8421173095703118,174.375,-1.0,1063.906800555423,42392.2451171875,62.19262313842773,-3.41800998621833,-4.936162803088304,1.8889578147597692,0.2777083769535267,-1.4621050357818601,4.9763150215148935,nonstorm,7.992036743680551,4.40812647840786,6.013421526702057,0.1306556870208222,0.06524904717886963,1.449827556101847,4.368365287780762,335.8683166503906,1.7,14.0,2018-07-11 16:51:00,2018,False,False,1.0,2.0
